id,title,date,summary,author,link,picture_link,identifier,category,posts,scraped_date
65581670,"Babišův byznys zastřeší jediný fond, bude největší v ČR. Vliv na 250 firem si ale ministr zachová",2017-01-10T00:00:00+01:00,"Andrej Babiš se chystá převést svůj majetek v hodnotě desítek miliard korun do svěřenského fondu, aby vyhověl zákonu o střetu zájmů.
Vliv na 250 firem si přesto dokáže zachovat.",Martin Ťopek,http://archiv.ihned.cz/c1-65581670-babisuv-byznys-v-hodnote-desitek-miliard-zastresi-jediny-fond-bude-nejvetsi-v-cesku?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/530/66785530/48hEz7uOs5qC2FSwmfT3v0LpiQVHPtMr/BabiL_HN_BBBB_Libor_FojtA-k.jpg,https://byznys.ihned.cz/65581670,byznys,20,2017-01-11T04:08:31.365013+00:00
65581650,"Česko má nejnižší nezaměstnanost v EU. Firmám ale chybí lidé, a budou proto muset letos zvyšovat mzdy",2017-01-10T00:00:00+01:00,"České firmy se potýkají s nejnižší nezaměstnaností za posledních osm let, chybí jim kvalifikovaní lidé i dělníci.
Růst mezd je nevyhnutelný, letos oproti loňsku ještě zrychlí. Ekonomika situaci ustojí, firmy spoléhající na levnou práci se ale mohou dostat do problémů.",Janis Aliapulios,http://archiv.ihned.cz/c1-65581650-mzdy-nepolevuji-v-rustu-ve-spojeni-s-koncem-intervenci-se-kvuli-tomu-mohou-nektere-firmy-dostat-do-potizi?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/250/66785250/hC3B029G5wdleuiO6QANqIHSFmLgnUKo/jarvis_5873ebec498eab70332d1e78.jpeg,https://byznys.ihned.cz/65581650,byznys,26,2017-01-11T04:08:31.365013+00:00
65581350,"Muži se oblékají lépe, říká podnikatelka s módou Motlíková. Začínala u zakladatele impéria Steilmann",2017-01-10T00:00:00+01:00,"Anna Motlíková přes 25 let patří k předním osobnostem českého byznysu s módou.
Prodává mimo jiné značky Steilmann a Stones a od ledna její firma Steilmann Praha rozšířila nabídku o další brandy Comma a Jones.
Motlíková má radost z toho, že dnes je kultura odívání u mužů mnohdy kvalitnější než u žen.",Milan Mikulka,http://archiv.ihned.cz/c1-65581350-muzi-se-oblekaji-lepe-nez-zeny-rika-podnikatelka-s-modou-motlikova-zacinala-u-zakladatele-imperia-steilmann?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/460/66784460/Jm08xa1Otg9h6NK3fVk7oSczF2bLiBAP/jarvis_5873cda1498e711a2f274393.jpg,https://byznys.ihned.cz/65581350,byznys,2,2017-01-11T04:08:31.365013+00:00
65581250,"Kellnerův manažer kupuje chmelnice. Není to náš byznys, tvrdí PPF, i když firma sídlí v její centrále",2017-01-10T00:00:00+01:00,"Dvě chmelařské firmy na Rakovnicku se loni přesunuly pod společnost, kterou ovládá šéf strategických projektů PPF Ladislav Chvátal. PPF se k transakcím nehlásí. 
V minulosti ale koupila společnost od kyperské firmy, která má zástavní právo na Chvátalův podíl. 
Podle zdrojů z agrárního byznysu PPF nemusí jít o prodej chmele, ale investici do lukrativní zemědělské půdy.",Tomáš Pergler,http://archiv.ihned.cz/c1-65581250-kellneruv-manazer-kupuje-chmelnice-neni-to-nas-byznys-tvrdi-ppf?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/380/66783380/9KjxDMpmsh0tAPFBSuivo7ldbz4CU2ne/jarvis_5873c86b498e711a2f2712ce.jpeg,https://byznys.ihned.cz/65581250,byznys,0,2017-01-11T04:08:31.365013+00:00
65581160,"Mladé banky zažily úspěšný rok. Nejvíc nových klientů nabrala Fio banka, téměř sto tisíc získala i Air Bank",2017-01-10T00:00:00+01:00,"Celkový počet klientů Air Bank, mBank, Equa bank, Fio banky a Zuno bank přesáhl na konci loňského roku 2,3 milionu. 
Nejvíc z nich měla Fio banka, která loni nabrala 115 tisíc nových klientů. 
Z tradičních domů se dařilo získat nové zákazníky Komerční bance a UniCredit Bank. Česká spořitelna, ČSOB a Moneta naopak ztrácely.",Olga Skalková,http://archiv.ihned.cz/c1-65581160-mlade-banky-mely-uspesny-rok?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/960/66782960/bdANpyK0tH3eD2QiJSO8mcPLnFjaxMl6/jarvis_5873c3d9498e711a2f26e9fb.jpeg,https://byznys.ihned.cz/65581160,byznys,5,2017-01-11T04:08:31.365013+00:00
65581120,Které americké akcie jsou slibné? Banky a farmaceutické firmy,2017-01-10T00:00:00+01:00,"Na finanční trhy budou mít letos velký vliv kroky administrativy nového amerického prezidenta Donalda Trumpa. 
Podle Deutsche Bank by mohl index S&amp;P 500 dokonce zamířit k úrovni 2350 bodů. 
Oproti aktuálnímu stavu by to ale znamenalo růst o pouhá tři procenta. Zajímavé pro investory mohou být akcie amerických bank či tamních farmaceutických firem.",Jaroslav Krejčí,http://archiv.ihned.cz/c1-65581120-ktere-americke-akcie-jsou-slibne-banky-a-farmaceuticke-firmy?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/760/66782760/BvSgt9umriE8f7UGVkPcChQlJI2Dy0dn/jarvis_5873c1e8498e711a2f26d2e0.jpeg,https://byznys.ihned.cz/65581120,byznys,0,2017-01-11T04:08:31.365013+00:00
65581070,FBI zatkla manažera VW kvůli Dieselgate,2017-01-10T00:00:00+01:00,"V trestním vyšetřování emisního skandálu německé automobilky VW ve Spojených státech byl zatčen vysoký manažer.  
Jedná se o bývalého šéfa amerického oddělení firmy pro dodržování regulačních předpisů Olivera Schmidta. 
Manažer byl podle zdrojů listu The New York Times zatčen v sobotu na Floridě a stane před soudem v Detroitu.",ČTK,http://archiv.ihned.cz/c1-65581070-fbi-zatkla-manazera-vw-kvuli-dieselgate?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/280/66782280/AjQ5SNymxfbBcpta6G0CMzvwP4hE819l/jarvis_5873ba2c498e711a2f2699d2.jpeg,https://byznys.ihned.cz/65581070,byznys,0,2017-01-11T04:08:31.365013+00:00
65581050,Šimáně a další developeři postaví v Brně nové čtvrti. Výstavba se přesouvá z centra na okraj města,2017-01-10T00:00:00+01:00,"Developeři v&nbsp;Brně chystají velké rezidenční projekty. Během následujících několika let plánují postavit stovky bytů pro tisíce lidí.  
Nejblíže k&nbsp;výstavbě nové městské čtvrti je skupina Unimex Group, za&nbsp;kterou stojí podnikatelé Jiří Šimáně a&nbsp;Jaromír Šmejkal.  
V&nbsp;širším centru Brna docházejí byty. Vlivem toho roste cena nemovitostí. Developerské firmy se začínají více zaměřovat na&nbsp;okraj města.",Adam Váchal,http://archiv.ihned.cz/c1-65581050-simane-a-dalsi-developeri-postavi-v-brne-nove-ctvrte?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/180/66782180/Pi7BdbmrEn93QMgvGfFIxk0R51KejqpH/jarvis_5873b9e7498e711a2f2695d0.jpeg,https://byznys.ihned.cz/65581050,byznys,0,2017-01-11T04:08:31.365013+00:00
65581030,Komárek chtěl ovládnout chorvatskou ropnou společnost INA. O rozhodující podíl má ale zájem tamní vláda,2017-01-10T00:00:00+01:00,"Kontrolu nad chorvatskou ropnou společností INA má maďarský MOL, který vlastní 49 procent. 45 procent patří chorvatské vládě.
Český miliardář a vlastník společnosti KKCG Karel Komárek o získání společnosti usilovat a chorvatské vládě představil plán na její získání.
Chorvaté měli ale z Komárkova plánu obavy - v praxi by opět ztratili vliv na dění ve společnosti. Komárek se přesto podle chorvatských médií nikdy nevzdal a dosud patří mezi nejvážnější zájemce o INA.",Simone Radačičová,http://archiv.ihned.cz/c1-65581030-komarek-chtel-ovladnout-chorvatskou-spolecnost-ina?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/80/66782080/EF3QNgblHOV7hPf8U1prW6GSqLaAzRI4/jarvis_5873ba6a498eab7031ed7a9b.jpeg,https://byznys.ihned.cz/65581030,byznys,0,2017-01-11T04:08:31.365013+00:00
65581010,Kalendář,2017-01-10T00:00:00+01:00,"ČSÚ zveřejní v úterý čísla o vývoji inflace. 
ECB ve čtvrtek vydá zápis z posledního zasedání o měnové politice.
V pátek vydají hospodářské výsledky některé velké americké banky, včetně Bank of America.",Jaroslav Krejčí,http://archiv.ihned.cz/c1-65581010-kalendar?utm_source=mediafed&utm_medium=rss&utm_campaign=mediafed,http://img.ihned.cz/attachment.php/980/66781980/FUMTpNqyJgmL1ICKVEjh2zv0lP6SA9uc/jarvis_5873b91a498e711a2f2689cb.jpeg,https://byznys.ihned.cz/65581010,byznys,0,2017-01-11T04:08:31.365013+00:00
